question,answer,company,category,tags
[Amazon] How do I change my password?,Go to settings > security and click 'change password'.,Amazon,Accounts,"amazon,accounts"
[Amazon] Where can I find my invoice?,Invoices are available under the 'Billing' section of your profile.,Amazon,Billing,"amazon,billing"
[Amazon] How do I contact support?,You can reach us at support@amazon.com or call 1-800-123-4567.,Amazon,Technical Support,"amazon,technicalsupport"
[Amazon] Can I get a refund?,Refunds are processed within 5-7 business days if applicable.,Amazon,Shipping & Delivery,"amazon,shipping&delivery"
[Amazon] How do I close my account?,Navigate to account settings and select 'Deactivate Account'.,Amazon,General,"amazon,general"
[Amazon] What payment methods do you accept?,"We accept Visa, Mastercard, AMEX, and PayPal.",Amazon,Accounts,"amazon,accounts"
[Amazon] Is there a mobile app?,"Yes, you can download the amazon app from iOS and Android stores.",Amazon,Billing,"amazon,billing"
[Amazon] How do I update my email address?,Go to 'Personal Details' in your account settings.,Amazon,Technical Support,"amazon,technicalsupport"
[Amazon] Why did my payment fail?,This usually happens due to insufficient funds or expired cards.,Amazon,Shipping & Delivery,"amazon,shipping&delivery"
[Amazon] Can I share my account?,Account sharing policies vary. Please check the Terms of Service.,Amazon,General,"amazon,general"
[Microsoft] How do I change my password?,Go to settings > security and click 'change password'.,Microsoft,Accounts,"microsoft,accounts"
[Microsoft] Where can I find my invoice?,Invoices are available under the 'Billing' section of your profile.,Microsoft,Billing,"microsoft,billing"
[Microsoft] How do I contact support?,You can reach us at support@microsoft.com or call 1-800-123-4567.,Microsoft,Technical Support,"microsoft,technicalsupport"
[Microsoft] Can I get a refund?,Refunds are processed within 5-7 business days if applicable.,Microsoft,Shipping & Delivery,"microsoft,shipping&delivery"
[Microsoft] How do I close my account?,Navigate to account settings and select 'Deactivate Account'.,Microsoft,General,"microsoft,general"
[Microsoft] What payment methods do you accept?,"We accept Visa, Mastercard, AMEX, and PayPal.",Microsoft,Accounts,"microsoft,accounts"
[Microsoft] Is there a mobile app?,"Yes, you can download the microsoft app from iOS and Android stores.",Microsoft,Billing,"microsoft,billing"
[Microsoft] How do I update my email address?,Go to 'Personal Details' in your account settings.,Microsoft,Technical Support,"microsoft,technicalsupport"
[Microsoft] Why did my payment fail?,This usually happens due to insufficient funds or expired cards.,Microsoft,Shipping & Delivery,"microsoft,shipping&delivery"
[Microsoft] Can I share my account?,Account sharing policies vary. Please check the Terms of Service.,Microsoft,General,"microsoft,general"
[Google] How do I change my password?,Go to settings > security and click 'change password'.,Google,Accounts,"google,accounts"
[Google] Where can I find my invoice?,Invoices are available under the 'Billing' section of your profile.,Google,Billing,"google,billing"
[Google] How do I contact support?,You can reach us at support@google.com or call 1-800-123-4567.,Google,Technical Support,"google,technicalsupport"
[Google] Can I get a refund?,Refunds are processed within 5-7 business days if applicable.,Google,Shipping & Delivery,"google,shipping&delivery"
[Google] How do I close my account?,Navigate to account settings and select 'Deactivate Account'.,Google,General,"google,general"
[Google] What payment methods do you accept?,"We accept Visa, Mastercard, AMEX, and PayPal.",Google,Accounts,"google,accounts"
[Google] Is there a mobile app?,"Yes, you can download the google app from iOS and Android stores.",Google,Billing,"google,billing"
[Google] How do I update my email address?,Go to 'Personal Details' in your account settings.,Google,Technical Support,"google,technicalsupport"
[Google] Why did my payment fail?,This usually happens due to insufficient funds or expired cards.,Google,Shipping & Delivery,"google,shipping&delivery"
[Google] Can I share my account?,Account sharing policies vary. Please check the Terms of Service.,Google,General,"google,general"
[Apple] How do I change my password?,Go to settings > security and click 'change password'.,Apple,Accounts,"apple,accounts"
[Apple] Where can I find my invoice?,Invoices are available under the 'Billing' section of your profile.,Apple,Billing,"apple,billing"
[Apple] How do I contact support?,You can reach us at support@apple.com or call 1-800-123-4567.,Apple,Technical Support,"apple,technicalsupport"
[Apple] Can I get a refund?,Refunds are processed within 5-7 business days if applicable.,Apple,Shipping & Delivery,"apple,shipping&delivery"
[Apple] How do I close my account?,Navigate to account settings and select 'Deactivate Account'.,Apple,General,"apple,general"
[Apple] What payment methods do you accept?,"We accept Visa, Mastercard, AMEX, and PayPal.",Apple,Accounts,"apple,accounts"
[Apple] Is there a mobile app?,"Yes, you can download the apple app from iOS and Android stores.",Apple,Billing,"apple,billing"
[Apple] How do I update my email address?,Go to 'Personal Details' in your account settings.,Apple,Technical Support,"apple,technicalsupport"
[Apple] Why did my payment fail?,This usually happens due to insufficient funds or expired cards.,Apple,Shipping & Delivery,"apple,shipping&delivery"
[Apple] Can I share my account?,Account sharing policies vary. Please check the Terms of Service.,Apple,General,"apple,general"
[Meta] How do I change my password?,Go to settings > security and click 'change password'.,Meta,Accounts,"meta,accounts"
[Meta] Where can I find my invoice?,Invoices are available under the 'Billing' section of your profile.,Meta,Billing,"meta,billing"
[Meta] How do I contact support?,You can reach us at support@meta.com or call 1-800-123-4567.,Meta,Technical Support,"meta,technicalsupport"
[Meta] Can I get a refund?,Refunds are processed within 5-7 business days if applicable.,Meta,Shipping & Delivery,"meta,shipping&delivery"
[Meta] How do I close my account?,Navigate to account settings and select 'Deactivate Account'.,Meta,General,"meta,general"
[Meta] What payment methods do you accept?,"We accept Visa, Mastercard, AMEX, and PayPal.",Meta,Accounts,"meta,accounts"
[Meta] Is there a mobile app?,"Yes, you can download the meta app from iOS and Android stores.",Meta,Billing,"meta,billing"
[Meta] How do I update my email address?,Go to 'Personal Details' in your account settings.,Meta,Technical Support,"meta,technicalsupport"
[Meta] Why did my payment fail?,This usually happens due to insufficient funds or expired cards.,Meta,Shipping & Delivery,"meta,shipping&delivery"
[Meta] Can I share my account?,Account sharing policies vary. Please check the Terms of Service.,Meta,General,"meta,general"
[Netflix] How do I change my password?,Go to settings > security and click 'change password'.,Netflix,Accounts,"netflix,accounts"
[Netflix] Where can I find my invoice?,Invoices are available under the 'Billing' section of your profile.,Netflix,Billing,"netflix,billing"
[Netflix] How do I contact support?,You can reach us at support@netflix.com or call 1-800-123-4567.,Netflix,Technical Support,"netflix,technicalsupport"
